# Matrix non-normalized table for RT-PCR submission based on a Platform not yet represented in GEO.																																																						
# The ID_REF column must contain unique identifiers.																																																						
"# SAMPLE columns should report non-normalized data (e.g., raw Ct_Target)."																																																						
# SAMPLE column header names must match Sample name column in SAMPLES section of Metadata sheet.																																																						
																																																						
ID_REF	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	s1-2	s2-1	s2-3	s2-4	s3-1	s3-2	s1-1	s2-2	s3-3	s3-5	s3-6	s3-7	s3-8	s4-1	s4-2	s4-3	s4-4	s5-1	s5-2	s5-3	s5-4	s6-1	s6-2	s6-3	s6-4	s6-5	s6-6	s7-1	s7-2	s7-3	s7-4	s7-5
SNORD38B	33.01152059			35.24200059	33.23294859	35.19037659	32.52646659	33.80342159	33.29056359	35.25565759	33.37927659	32.06854659	35.31281659	33.33449359	36.19928759	32.70560359	33.40971759	35.61171759	34.16181959		31.72632259	33.16247559	35.37386359	33.95922859	33.79028759	33.39230759	32.80904759	32.07626359	34.17787559	35.21045359	32.52923659	36.82310159	32.46184559	32.05179359		33.76013359		33.71919359	35.30459659	33.49710859	36.55273359	34.79742359	34.23498959	35.05952059	32.64331359	32.09525659	35.21548359	29.68196659		35.08873359	35.27269359	34.70533359	34.69809759	32.93962859
SNORD38B	33.78008641	32.92089441	35.93201641		35.09595841	34.55110941	32.47004641	35.52203341	32.92347341	34.50846041	34.07994041	32.82801041	33.64981441	33.64067041	34.39826641	33.51851241	32.85703641	35.64712841	33.27431841		32.04160841	33.88389141	35.77985641	34.26804641	34.42502141	33.65190141	32.40201941	32.47427641		35.12585441	33.10565941		34.61496641	31.93362241		36.82096641		33.59359341		34.66564141	34.95782041		34.10613641		33.03349241	32.63030941	34.11402141	29.82233641	35.86418641	35.11598641			35.64614041	32.78554641
U6	33.33954359	34.89829359			32.42827659	33.04385759	31.75493359	34.63492959	31.45984359	32.79309359	32.79943159	32.58396959	34.46798759	34.25083559	33.57433759	32.41717959	32.10812759	33.42008359	31.53227859	33.42787559	30.30012159	32.21384059	33.49771359	33.33286359	32.39182659	30.57746759	31.51929459	32.68225359	32.69114359	32.02452159	30.34121359	35.76011359	32.27004359	31.19589859		34.47126359	32.82620359	34.04534959	32.93875359	32.34830859	31.05548859	32.25547859	31.21352959	32.79119859	32.34890359	30.67652359	31.83080559	31.68623559	31.42067559	31.68071059	34.08617359	32.91822359	32.09960359	33.31613359
U6	34.58895841		36.15771041		33.45376141	35.03879941	31.67852941	36.99908041	32.17223341	32.77922641	33.33034841	32.45083641		33.44533641		32.55680041	32.37591141		32.34917641	33.93037641	30.77239041	32.91689241		35.83514641	33.65062641	30.76369241	33.15664641	31.60880641	34.30244641	32.57084241	30.70271841	33.16193341	32.09779541	31.83004341		34.64532441	32.78405641	34.47865641	33.50837641		32.87416441	32.28483141	32.59645041	35.24901941	32.03277141	30.87399041	32.10919641	32.15054441	32.25895641	32.25728241	35.52136941	33.22948041	32.00938241	33.22351441
UniSp6	17.55521341	25.38058241	16.16479341	16.15954841	16.01606141	16.31956241	26.49865841	27.06009641	26.72072241	16.31595441	23.36373141	25.29445241	25.09924641	27.02106241	26.77577341	23.34331641	22.23148641	22.58747641	21.30331741	22.20487741	21.78096941	21.30636741	18.75487641	17.51078941	25.08507341	27.09116341	17.91233241	18.88044641	26.58383141	25.15991641	17.28401941	27.80232241	28.04571341	27.37622241	25.26881341	17.57979741	18.06678141	16.30116841	16.20614041	25.75006041	26.49050641	27.75160941	26.12435841	25.52672641	22.84557841	26.89590441	25.76921441	22.00041741	22.88187341	25.02496841	25.00366341	25.29404241	26.79620141	27.11433341
UniSp6 CP	18.89033959	23.95519859	16.16757959	16.07308759	16.03232559	16.33399259	27.14859059	27.31237359	27.64750159	15.38979759	23.27524059	26.03311959	26.02643259	26.96196959	27.01439359	23.43459159	23.54331959	22.84595559	22.34592059	22.23110059	22.90921959	22.10321259	19.60990159	16.48128359	24.59563459	26.81365059	18.06332359	19.08938259	25.66119359	25.27524759	16.67621859	31.79628759	28.64168159	27.68972659	26.92666359	17.03425059	17.87978559	16.33000559	15.86367059	26.22682259	26.60817559	26.89293659	25.50127359	27.42627159	26.37861359	25.96387359	26.42277959	27.18374659	21.38797259	25.10978759	25.06216459	26.37546159	29.02254359	26.62960359
hsa-let-7a	29.02999859	29.34317959	31.47218559	32.00542359	30.10335959	29.96564559	28.59513459	30.78335359	29.41996059	28.09753359	28.40428959	28.34954659	30.00244359	30.93146959	31.94049359	28.88175359	29.70769359	30.00763559	30.21375459	32.49787359	30.20515359	29.41200859	27.64809859	28.09581759	29.61366059	29.34271859	27.75661359	28.62995159	29.48493059	29.95327359	28.76663359	31.78044759	26.40652859	28.58377059	31.03451159	31.66670259	30.70258359	29.36378359	30.10263859	30.82016559	30.33076659	30.88550759	29.10557559	29.48751459	29.26983859	28.84332659	29.98359859	27.39216359	28.70872359	29.15127359	30.53781159	29.44352759	30.80169659	29.02114359
hsa-let-7a*	32.65412141	33.33535641	36.55488141	34.74430041	33.55395841	35.86153341	34.99473141			34.19855641	34.91737641	34.20791941	34.56624241	34.49629141	35.08103141	36.49570441	32.79441441	34.22632141	33.98611041	34.39322241	35.54046941	34.48112641	32.97943641	34.48338241	34.55021241	32.85442341	35.25997941	33.33393041	33.89515241	35.89494341	32.89595341	33.67791641	32.73618241	33.54705041	34.40700141		36.43523041	34.86887341	35.65344941	36.07589341	33.92335141	34.93532141	35.28596041	34.74895641	34.35028441	33.47156841	34.78125641	32.60421641	35.89232641	32.49777941	35.90090941	35.44316041	34.44006341	33.28020841
hsa-let-7b	26.95138559	26.77223059	29.15571659	29.10326759	27.06552359	27.33613659	26.96783659	27.97316759	26.64083359	26.20665959	26.56050359	26.65020559	27.26805359	27.54477759	28.69149959	26.75886559	27.22004359	27.88568559	27.04828459	29.18086659	28.05631859	26.46386959	24.45720859	25.99490559	25.89443059	26.31955559	25.69026359	25.53447559	27.17449259	27.54254159	26.20763959	29.77331559	23.32831059	26.51137959	27.09243959	29.00367559	27.03792559	27.30118759	27.75851359	27.23106259	27.38049359	27.73299659	26.02402359	27.30284359	27.38773759	25.46172159	25.96866859	23.77501659	26.98511959	25.90684759	27.06650159	27.90692359	26.42417159	25.49128959
hsa-let-7b*	31.40471441	32.24671141	32.78942841	32.59347841	32.05651841	32.45052641	31.88165441	32.85187141	33.35083341	32.29795041	31.86233841	32.78240641	33.70357141	32.84403641	32.89767641	32.50580641	31.48421641	32.11072341	33.68251441	33.86553941	33.03133641	33.32522141	31.90335241	32.32356241	32.07599041	31.67002241	32.72984641	31.93644141	32.15681041	31.90291041	31.78175641	31.91691941	31.25606541	32.34752241	32.08145141	35.03575141	33.43748041	32.91526641	33.35791341	33.03100141	31.10078741	32.80430941	33.13449841	31.82882141	32.47249641	32.55578941	31.10834141	31.76599141	32.31898041	32.37657941	32.98605341	32.85700241	32.17466341	33.81206841
hsa-let-7c	31.23568159	31.10767059	33.23316559	34.20959859	31.83235559	31.79403159	30.83550659	32.75480359	31.17155359	30.10109959	30.45018059	30.54639359	31.82300959	32.41828359	33.62893659	30.74999859	31.42331359	32.01739159	31.44698959	34.02996059	31.73143259	31.15117659	28.82436059	29.83364559	31.21576359	31.38295759	29.69048559	30.43820759	31.18577559	32.16541359	30.45982759	33.75371559	28.52739559	30.80846359	32.93996859	33.33509359	32.66062959	31.59754059	32.33104759	32.98505359	31.48522959	33.33968359	31.26301359	31.61969259	31.28430959	30.98693459	31.70367459	28.24521059	31.00515559	31.04742859	31.89928859	31.82952159	31.69915759	30.62724359
hsa-let-7d	29.63256059	30.08188659	31.65994359	32.26760859	30.61358859	30.89891059	29.26987659	31.65650959	29.96322659	28.80625559	28.97966359	28.76623959	30.32932159	31.10629659	32.74621359	29.05509359	30.07102059	30.47352659	30.78878959	32.73181359	30.65197759	30.03891359	28.89257459	29.66316059	30.32439059	30.02937359	29.05081759	29.75094859	30.61848059	31.13637159	29.75122359	32.74979359	27.50112959	29.59531259	31.14794759	31.70799659	30.64628659	30.47467059	30.97251959	31.55686059	31.33413559	32.35501159	29.76505459	30.17555859	29.98345959	29.85027159	30.61898359	27.89935159	29.49093059	30.07364359	31.32093459	30.02852059	31.32174359	29.43590959
hsa-let-7d*	26.53062459	26.12069359	26.46114359	26.28945359	26.65421359	26.81535559	25.96460959	26.02764559	26.57506359	25.30660459	25.39972359	27.00672559	26.73501959	27.14000159	27.15251159	26.13353959	26.32084659	25.68486259	28.58174759	28.22013659	28.44925859	28.24182759	25.52455559	25.66086759	26.28900559	27.01860659	25.52868459	25.75933859	24.77336159	26.13009459	25.21559559	28.73794759	25.58167459	25.64556759	25.89280159	26.60919259	27.33300259	26.78751959	26.74498759	26.27850959	25.49882959	25.65864059	26.24880659	25.67594559	25.67130359	26.52460659	25.35489359	25.91260159	26.43191159	26.36739759	26.74609959	27.04622659	26.79772559	26.81642959
hsa-let-7e	32.15471659	32.95489359	32.43694359	33.64457359	32.33415359	33.53116359	32.36264059	34.13071859	32.92054759	31.82391359	31.24101059	30.25225059	32.95933359	33.73388659	34.80847959	32.33082959	31.99841359	34.20631359	33.60166359	35.93849359	33.19056759	33.48657659	31.13420559	31.53992659	33.60925359	33.34157559	31.38901159	32.97903859	31.19575159	32.73239959	32.46054059	35.77224359	32.05444359	31.97243359	35.10536959	33.76175759	34.11654659	36.11168659	34.00855659	33.52533359	33.71020159	33.68609359	34.32776659	32.26385359	32.22153359	34.17228759	33.02791959	31.32942559	31.84415859	34.13455359	33.25573759	31.94801759	32.90961059	32.03369359
