,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
"gi|9626953|ref|NC_001499.1| Abelson murine leukemia virus, complete genome",878.0,0.0,328.0,0.0,100.0,154.0,152.0,172.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,173.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,173.0,0.0,515.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,515.0,304.0,533.0,173.0,0.0,0.0,0.0,98.0,0.0,173.0,0.0,186.0,515.0,515.0,515.0,0.0,173.0,173.0,0.0,0.0,360.0,0.0,173.0,0.0,0.0,0.0,515.0,638.0,0.0,173.0,420.0,360.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,518.0,550.0,515.0,515.0,360.0,0.0,0.0,0.0,296.0,190.0,173.0,0.0,0.0,515.0,360.0,515.0,515.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,510.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,93.0,285.0,326.0,255.0,0.0
"gi|189490154|ref|NC_010820.1| Simian foamy virus 3, complete genome",0.0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,562.0,543.0,610.0,633.0,595.0,609.0,663.0,683.0,645.0,587.0,563.0,0.0,831.0,563.0,582.0,302.0,0.0,521.0,812.0,1005.0,1233.0,754.0,770.0,262.0,457.0,617.0,558.0,771.0,285.0,259.0,225.0,167.0,641.0,1091.0,898.0,1026.0,1014.0,1131.0,253.0,534.0,1011.0,0.0,0.0,245.0,229.0,718.0,461.0,88.0,0.0,161.0,509.0,685.0,0.0,0.0,0.0,0.0,1181.0,671.0,715.0,663.0,463.0,0.0,992.0,226.0,829.0,322.0,985.0,0.0,0.0,565.0,499.0,0.0,0.0,699.0,804.0,410.0,187.0,784.0,282.0,557.0,485.0,531.0,263.0,0.0,241.0,0.0,0.0,781.0,1044.0,98.0,0.0,0.0,250.0,465.0,299.0,0.0,0.0,0.0,0.0,1580.0,647.0,717.0,527.0,368.0,184.0,654.0,1076.0,0.0,268.0,674.0,359.0,598.0,525.0,600.0,545.0,857.0,816.0,557.0,526.0,0.0,857.0,80.0,806.0,792.0,0.0,0.0,0.0,0.0,731.0
"gi|83722643|ref|NC_007654.1| Atlantic salmon swim bladder sarcoma virus, complete genome",328.0,0.0,1282.0,0.0,100.0,0.0,152.0,83.0,0.0,508.0,483.0,502.0,508.0,508.0,508.0,508.0,508.0,508.0,497.0,481.0,0.0,508.0,508.0,508.0,726.0,0.0,494.0,508.0,508.0,249.0,508.0,508.0,236.0,378.0,508.0,737.0,508.0,247.0,621.0,587.0,0.0,0.0,259.0,259.0,508.0,249.0,508.0,210.0,508.0,508.0,444.0,154.0,423.0,667.0,486.0,441.0,0.0,0.0,72.0,718.0,508.0,0.0,247.0,247.0,247.0,257.0,778.0,778.0,0.0,452.0,0.0,508.0,589.0,249.0,214.0,508.0,458.0,294.0,463.0,696.0,306.0,219.0,0.0,508.0,416.0,81.0,508.0,704.0,207.0,244.0,485.0,427.0,215.0,218.0,437.0,0.0,508.0,249.0,75.0,0.0,0.0,454.0,249.0,0.0,247.0,0.0,247.0,247.0,0.0,508.0,775.0,200.0,765.0,77.0,491.0,508.0,172.0,245.0,508.0,508.0,508.0,508.0,508.0,506.0,249.0,259.0,472.0,218.0,78.0,259.0,78.0,508.0,257.0,0.0,145.0,239.0,124.0,508.0
"gi|9626152|ref|NC_001402.1| Avian carcinoma virus, complete genome",0.0,0.0,0.0,333.0,127.0,63.0,63.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,63.0,63.0,75.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,63.0,0.0,63.0,63.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,63.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,63.0,0.0,0.0,75.0,0.0,63.0,0.0
"gi|49248517|ref|NC_005947.1| Avian endogenous retrovirus EAV-HP, complete genome",100.0,0.0,100.0,127.0,567.0,364.0,464.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,85.0,0.0,0.0,123.0,223.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,343.0,100.0,221.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,89.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,244.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.0,120.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,100.0,120.0,0.0,0.0,364.0,0.0,0.0,78.0,0.0,364.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,100.0,0.0,123.0,76.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,123.0,0.0,0.0,0.0,0.0,343.0,0.0
"gi|323363050|ref|NC_015116.1| Avian leukemia virus, complete genome",154.0,0.0,0.0,63.0,364.0,970.0,789.0,283.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,254.0,0.0,0.0,211.0,211.0,154.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,211.0,0.0,154.0,307.0,154.0,190.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,176.0,154.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,0.0,0.0,121.0,366.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,188.0,357.0,154.0,154.0,775.0,0.0,0.0,78.0,94.0,816.0,211.0,0.0,0.0,154.0,154.0,154.0,154.0,0.0,211.0,0.0,0.0,211.0,76.0,0.0,0.0,327.0,154.0,0.0,0.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0,0.0,90.0,0.0,96.0,211.0,0.0,0.0,151.0,0.0,398.0,0.0
"gi|9626201|ref|NC_001408.1| Avian leukosis virus - RSA, complete genome",152.0,0.0,152.0,63.0,464.0,789.0,953.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,168.0,0.0,0.0,201.0,353.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,459.0,152.0,334.0,0.0,0.0,83.0,0.0,0.0,152.0,0.0,89.0,0.0,0.0,0.0,0.0,152.0,152.0,0.0,0.0,383.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,99.0,212.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,331.0,203.0,0.0,0.0,622.0,0.0,0.0,78.0,0.0,801.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,152.0,0.0,201.0,76.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,0.0,0.0,0.0,0.0,90.0,0.0,96.0,201.0,0.0,0.0,0.0,0.0,522.0,0.0
"gi|9629900|ref|NC_001866.1| Avian myelocytomatosis virus, complete genome",172.0,0.0,83.0,138.0,277.0,283.0,277.0,462.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,171.0,0.0,0.0,91.0,174.0,185.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,185.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,91.0,0.0,89.0,277.0,172.0,83.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,176.0,185.0,89.0,89.0,0.0,83.0,83.0,0.0,0.0,180.0,0.0,83.0,0.0,0.0,0.0,89.0,89.0,0.0,83.0,172.0,192.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,83.0,192.0,89.0,89.0,283.0,0.0,0.0,78.0,89.0,194.0,174.0,0.0,0.0,89.0,185.0,89.0,89.0,0.0,91.0,83.0,0.0,91.0,76.0,0.0,0.0,192.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,0.0,185.0,0.0,277.0,0.0
"gi|725896726|ref|NC_022517.1| Baboon endogenous virus strain M7 proviral DNA, complete genome",360.0,462.0,0.0,0.0,0.0,154.0,0.0,89.0,1205.0,444.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,174.0,253.0,462.0,462.0,253.0,535.0,462.0,462.0,462.0,253.0,462.0,462.0,253.0,440.0,462.0,462.0,462.0,788.0,209.0,209.0,96.0,239.0,253.0,462.0,462.0,253.0,462.0,977.0,454.0,462.0,717.0,0.0,723.0,209.0,462.0,418.0,88.0,98.0,161.0,462.0,462.0,186.0,535.0,535.0,535.0,462.0,462.0,462.0,250.0,425.0,721.0,462.0,209.0,253.0,253.0,462.0,728.0,351.0,462.0,425.0,121.0,722.0,253.0,462.0,395.0,106.0,462.0,209.0,462.0,431.0,450.0,253.0,520.0,981.0,715.0,421.0,462.0,462.0,98.0,206.0,0.0,209.0,253.0,121.0,535.0,535.0,535.0,535.0,462.0,462.0,462.0,253.0,253.0,106.0,462.0,462.0,588.0,788.0,462.0,209.0,451.0,412.0,462.0,462.0,253.0,462.0,462.0,253.0,89.0,253.0,80.0,462.0,253.0,93.0,285.0,452.0,0.0,462.0
"gi|332308947|ref|NC_015506.1| Banana streak CA virus, complete genome",0.0,562.0,508.0,0.0,0.0,0.0,0.0,0.0,444.0,1469.0,1206.0,1287.0,1296.0,1291.0,1365.0,1383.0,1372.0,1365.0,1285.0,1053.0,0.0,875.0,1308.0,1162.0,757.0,0.0,1223.0,1223.0,1065.0,545.0,1421.0,1421.0,442.0,1078.0,1332.0,1022.0,1307.0,235.0,929.0,813.0,170.0,235.0,567.0,768.0,1106.0,545.0,1223.0,235.0,1099.0,1067.0,215.0,0.0,450.0,669.0,998.0,1125.0,88.0,0.0,313.0,1025.0,1317.0,0.0,0.0,0.0,0.0,733.0,1149.0,1223.0,235.0,1139.0,0.0,1053.0,817.0,545.0,458.0,1064.0,235.0,152.0,929.0,1056.0,107.0,219.0,235.0,1223.0,1029.0,268.0,1223.0,1012.0,904.0,945.0,1237.0,235.0,215.0,235.0,214.0,0.0,1212.0,1049.0,248.0,0.0,0.0,700.0,752.0,205.0,0.0,0.0,0.0,0.0,562.0,1181.0,1189.0,459.0,827.0,183.0,1275.0,1142.0,0.0,470.0,1403.0,1184.0,1439.0,1361.0,1068.0,1050.0,545.0,913.0,1202.0,681.0,0.0,582.0,158.0,1222.0,481.0,90.0,145.0,0.0,0.0,1403.0
